shadow_condition,agent,horizon_awareness,opponent_modeling
0.75,GPT5mini_T1_p1i1,1.0,1.0
0.75,GPT5nano_T1_p1i1,1.0,1.0
0.75,GPT4.1mini_T1_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T02_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T05_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T08_p1i1,1.0,1.0
0.75,Mistral-Medium_T02_p1i1,1.0,1.0
0.75,Mistral-Medium_T07_p1i1,1.0,1.0
0.75,Mistral-Medium_T12_p1i1,1.0,1.0
0.75,Gemini20Flash_T02_p1i1,0.3076923076923077,1.0
0.75,Gemini20Flash_T07_p1i1,1.0,1.0
0.75,Gemini20Flash_T12_p1i1,1.0,1.0
0.75,GPT5mini_T1_p2i1,1.0,1.0
0.75,GPT5mini_T1_p2i2,1.0,1.0
0.75,GPT5nano_T1_p2i1,1.0,1.0
0.75,GPT5nano_T1_p2i2,1.0,1.0
0.75,Claude4-Sonnet_T02_p2i1,1.0,1.0
0.75,Claude4-Sonnet_T05_p2i1,0.972972972972973,1.0
0.75,Claude4-Sonnet_T08_p2i1,1.0,1.0
0.75,Mistral-Medium_T02_p2i1,0.9696969696969697,1.0
0.75,Mistral-Medium_T12_p2i1,1.0,1.0
0.75,Gemini20Flash_T07_p2i1,0.9428571428571428,1.0
0.75,GPT5mini_T1_p3i1,1.0,1.0
0.75,GPT5mini_T1_p3i2,1.0,1.0
0.75,GPT5mini_T1_p3i3,1.0,1.0
0.75,GPT5nano_T1_p3i1,1.0,0.8888888888888888
0.75,GPT5nano_T1_p3i2,1.0,1.0
0.75,Claude4-Sonnet_T02_p3i1,1.0,1.0
0.75,Claude4-Sonnet_T05_p3i1,1.0,1.0
0.75,Claude4-Sonnet_T08_p3i1,1.0,1.0
0.75,Mistral-Medium_T02_p3i1,0.9696969696969697,1.0
0.75,Gemini20Flash_T07_p3i1,0.9393939393939394,1.0
0.75,GPT5mini_T1_p4i1,1.0,1.0
0.75,GPT5mini_T1_p4i2,1.0,1.0
0.75,GPT5mini_T1_p4i3,1.0,1.0
0.75,GPT5mini_T1_p4i4,1.0,1.0
0.75,GPT5mini_T1_p4i5,1.0,1.0
0.75,Claude4-Sonnet_T02_p4i1,0.9428571428571428,1.0
0.75,Claude4-Sonnet_T08_p4i1,1.0,1.0
0.75,Gemini20Flash_T07_p4i1,0.9032258064516129,1.0
0.75,GPT5mini_T1_p5i1,1.0,1.0
0.75,GPT5mini_T1_p5i2,1.0,1.0
0.75,GPT5mini_T1_p5i3,1.0,1.0
0.75,GPT5mini_T1_p5i4,1.0,1.0
0.75,GPT5mini_T1_p5i5,0.975,1.0
0.75,GPT5mini_T1_p5i6,1.0,1.0
0.75,GPT5mini_T1_p5i7,0.9722222222222222,1.0
0.75,Gemini20Flash_T07_p5i1,0.9743589743589743,1.0
0.75,GPT5mini_T1,1.0,1.0
0.75,GPT5nano_T1,1.0,1.0
0.75,GPT4.1mini_T1,1.0,1.0
0.75,Claude4-Sonnet_T02,1.0,1.0
0.75,Claude4-Sonnet_T05,1.0,1.0
0.75,Claude4-Sonnet_T08,1.0,1.0
0.75,Mistral-Medium_T02,1.0,1.0
0.75,Mistral-Medium_T07,1.0,1.0
0.75,Mistral-Medium_T12,1.0,1.0
0.75,Gemini20Flash_T02,0.0,1.0
0.75,Gemini20Flash_T07,0.9166666666666666,1.0
0.75,Gemini20Flash_T12,0.35294117647058826,1.0
0.75,GPT5mini_T1,1.0,1.0
0.75,GPT5nano_T1,1.0,1.0
0.75,GPT4.1mini_T1,1.0,1.0
0.75,Claude4-Sonnet_T02,1.0,1.0
0.75,Claude4-Sonnet_T05,1.0,1.0
0.75,Claude4-Sonnet_T08,1.0,1.0
0.75,Mistral-Medium_T02,1.0,1.0
0.75,Mistral-Medium_T07,1.0,1.0
0.75,Mistral-Medium_T12,1.0,1.0
0.75,Gemini20Flash_T02,0.15384615384615385,1.0
0.75,Gemini20Flash_T07,0.9333333333333333,1.0
0.75,Gemini20Flash_T12,0.35294117647058826,1.0
0.75,GPT5mini_T1,1.0,1.0
0.75,GPT5nano_T1,1.0,1.0
0.75,GPT4.1mini_T1,1.0,1.0
0.75,Claude4-Sonnet_T02,1.0,1.0
0.75,Claude4-Sonnet_T05,1.0,1.0
0.75,Claude4-Sonnet_T08,1.0,1.0
0.75,Mistral-Medium_T02,1.0,1.0
0.75,Mistral-Medium_T07,1.0,1.0
0.75,Mistral-Medium_T12,1.0,1.0
0.75,Gemini20Flash_T02,0.26666666666666666,1.0
0.75,Gemini20Flash_T07,1.0,1.0
0.75,Gemini20Flash_T12,0.08333333333333333,1.0
